count,hate_speech,offensive_language,neither,class,tweet,new_class,cleaned_tweet
3,0,0,3,2,!!! RT @mayasolovely: As a woman you shouldn't complain about cleaning up your house. &amp; as a man you should always take the trash out...,1, as a woman you should not complain about cleaning up your house as a man you should always take the trash out
3,0,3,0,1,!!!!! RT @mleew17: boy dats cold...tyga dwn bad for cuffin dat hoe in the 1st place!!,2, boy dats cold tyga dwn bad for cuffin dat hoe in the 1 st place
3,0,3,0,1,!!!!!!! RT @UrKindOfBrand Dawg!!!! RT @80sbaby4life: You ever fuck a bitch and she start to cry? You be confused as shit,2, dawg you ever fuck a bitch and she sta to cry you be confused as shit
3,0,2,1,1,!!!!!!!!! RT @C_G_Anderson: @viva_based she look like a tranny,2, she look like a tranny
6,0,6,0,1,!!!!!!!!!!!!! RT @ShenikaRoberts: The shit you hear about me might be true or it might be faker than the bitch who told it to ya &#57361;,2, the shit you hear about me might be true or it might be faker than the bitch who told it to ya
3,1,2,0,1,"!!!!!!!!!!!!!!!!!!""@T_Madison_x: The shit just blows me..claim you so faithful and down for somebody but still fucking with hoes! &#128514;&#128514;&#128514;""",2,the shit just blows me claim you so faithful and down for somebody but still fucking with hoes 
3,0,3,0,1,"!!!!!!""@__BrighterDays: I can not just sit up and HATE on another bitch .. I got too much shit going on!""",2,i can not just sit up and hate on another bitch i got too much shit going on
3,0,3,0,1,!!!!&#8220;@selfiequeenbri: cause I'm tired of you big bitches coming for us skinny girls!!&#8221;,2,cause i am tired of you big bitches coming for us skinny girls
3,0,3,0,1,""" &amp; you might not get ya bitch back &amp; thats that """,2,you might not get ya bitch back thats that
3,1,2,0,1,""" @rhythmixx_ :hobbies include: fighting Mariam""

bitch",2,hobbies include fighting mariam bitch
3,0,3,0,1,""" Keeks is a bitch she curves everyone "" lol I walked into a conversation like this. Smh",2,keeks is a bitch she curves everyone lol i walked into a conversation like this smh
3,0,3,0,1,""" Murda Gang bitch its Gang Land """,2,murda gang bitch its gang land
3,0,2,1,1,""" So hoes that smoke are losers ? "" yea ... go on IG",2,so hoes that smoke are losers yea go on ig
3,0,3,0,1,""" bad bitches is the only thing that i like """,2,bad bitches is the only thing that i like
3,1,2,0,1,""" bitch get up off me """,2,bitch get up off me
3,0,3,0,1,""" bitch nigga miss me with it """,2,bitch nigga miss me with it
3,0,3,0,1,""" bitch plz whatever """,2,bitch plz whatever
3,1,2,0,1,""" bitch who do you love """,2,bitch who do you love
3,0,3,0,1,""" bitches get cut off everyday B """,2,bitches get cut off everyday b
3,0,3,0,1,""" black bottle &amp; a bad bitch """,2,black bottle a bad bitch
3,0,3,0,1,""" broke bitch cant tell me nothing """,2,broke bitch cant tell me nothing
3,0,3,0,1,""" cancel that bitch like Nino """,2,cancel that bitch like nino
3,0,3,0,1,""" cant you see these hoes wont change """,2,cant you see these hoes wont change
3,0,3,0,1,""" fuck no that bitch dont even suck dick "" &#128514;&#128514;&#128514; the Kermit videos bout to fuck IG up",2,fuck no that bitch dont even suck dick the kermit videos bout to fuck ig up
3,0,3,0,1,""" got ya bitch tip toeing on my hardwood floors "" &#128514; http://t.co/cOU2WQ5L4q",2,got ya bitch tip toeing on my hardwood floors url 
3,0,2,1,1,""" her pussy lips like Heaven doors "" &#128524;",2,her pussy lips like heaven doors
3,0,3,0,1,""" hoe what its hitting for """,2,hoe what its hitting for
3,0,3,0,1,""" i met that pussy on Ocean Dr . i gave that pussy a pill "" &#128524;",2,i met that pussy on ocean dr i gave that pussy a pill
3,0,3,0,1,""" i need a trippy bitch who fuck on Hennessy """,2,i need a trippy bitch who fuck on hennessy
3,0,3,0,1,""" i spend my money how i want bitch its my business """,2,i spend my money how i want bitch its my business
3,0,3,0,1,""" i txt my old bitch my new bitch pussy wetter """,2,i txt my old bitch my new bitch pussy wetter
3,0,3,0,1,""" i'd say im back to the old me but my old bitches would get excited "" &#128524;",2,i d say im back to the old me but my old bitches would get excited
3,0,3,0,1,""" if you aint bout that Murder Game pussy nigga shut up """,2,if you aint bout that murder game pussy nigga shut up
3,0,3,0,1,""" if you're toes ain't done you pussy stinks """,2,if you are toes ain t done you pussy stinks
3,0,3,0,1,""" im done with bitter bitches its a wrap for that . if you a angry bird theres a app for that """,2,im done with bitter bitches its a wrap for that if you a angry bird theres a app for that
3,0,3,0,1,""" is that ya bitch """,2,is that ya bitch
3,0,3,0,1,""" it aint nothing to cut a bitch off """,2,it aint nothing to cut a bitch off
3,0,3,0,1,""" jus meet son now he ya mane ass bitches "" #Shots",2,jus meet son now he ya mane ass bitches shots
3,0,2,1,1,""" lames crying over hoes thats tears of a clown """,2,lames crying over hoes thats tears of a clown
3,0,3,0,1,""" like Snoop said in 94 we dont love these hoes """,2,like snoop said in we dont love these hoes
3,0,1,2,2,""" momma said no pussy cats inside my doghouse """,1,momma said no pussy cats inside my doghouse
3,0,3,0,1,""" most hated but the hoes favorite "" #2MW #SevenOne # http://t.co/BMdSVMc3rC",2,most hated but the hoes favorite 2 mw seven one url 
3,0,3,0,1,""" nice girls bad, make me get naughty. Bad yello hoe, real nice body. Down south chick, like em real thick"" http://t.co/bzRDl3kF7U",2,nice girls bad make me get naughty bad yello hoe real nice body down south chick like em real thick url 
3,0,3,0,1,""" pimps up pimps up hoes down "" Future voice",2,pimps up pimps up hoes down future voice
3,0,3,0,1,""" post a picture of that pussy get 200 likes """,2,post a picture of that pussy get likes
3,0,3,0,1,""" pussy is a powerful drug "" &#128517; #HappyHumpDay http://t.co/R8jsymiB5b",2,pussy is a powerful drug happy hump day url 
3,0,3,0,1,""" quick piece of pussy call it a drive by """,2,quick piece of pussy call it a drive by
3,0,3,0,1,""" running round here like some brand new pussy thats bout to get fucked """,2,running round here like some brand new pussy thats bout to get fucked
3,0,3,0,1,""" these bitches even worst they'll send them guys for you """,2,these bitches even worst they will send them guys for you
3,1,2,0,1,""" these hoes like niggas that spend money not talk bout it """,2,these hoes like niggas that spend money not talk bout it
3,1,2,0,1,""" we dont trust these niggas all these bitches """,2,we dont trust these niggas all these bitches
3,0,3,0,1,""" yall niggas b cuffing hoes cause yall aint never have bitches """,2,yall niggas b cuffing hoes cause yall aint never have bitches
3,0,3,0,1,""" you dodge a bullet "" &#128517; &#8220;@DaRealKha: ""All da bitches I cut off pregnant or bound to be ....thank God &#128591;""&#8221;",2,you dodge a bullet all da bitches i cut off pregnant or bound to be thank god 
3,0,3,0,1,""" young Pill Chamberlain these bitches love my music """,2,young pill chamberlain these bitches love my music
3,0,2,1,1,"""&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;@VandalSavage_: Teanna Trump probably cleaner than most of these twitter hoes but.........""",2, teanna trump probably cleaner than most of these twitter hoes but
3,0,3,0,1,"""&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;@DaHomieFuzz: Gay niggas couldn't wait to act like bitches tonight""",2, gay niggas could not wait to act like bitches tonight
3,0,3,0,1,"""&#128514;&#128514;&#128514;@The_Paradox: And ima steal his cat n replace it with a pitbull &#128514;&#128514;&#128514;&#128514; RT @80sbaby4life: @The_Paradox He a bitch you should do it""",2, and ima steal his cat n replace it with a pitbull he a bitch you should do it
3,0,3,0,1,"""&amp; he's gone always be a hoe""",2,he gone always be a hoe
3,0,3,0,1,"""...Son of a bitch took my Tic Tacs.""

I like this movie.",2,son of a bitch took my tic tacs i like this movie
3,0,3,0,1,"""..All I wanna do is get money and fuck model bitches!"" - Russell Simmons",2,all i wanna do is get money and fuck model bitches russell simmons
3,0,2,1,1,"""@2015seniorprobs: I probably wouldn&#8217;t mind school as much if we didn&#8217;t have to deal with bitch ass teachers"". Retweet",2,i probably wouldn t mind school as much if we didn t have to deal with bitch ass teachers retweet
3,0,3,0,1,"""@A7XDemery: I'm a fucking fag they said""",2,i am a fucking fag they said
3,0,3,0,1,"""@ARIZZLEINDACUT: Females think dating a pussy is cute now? http://t.co/VxBJg26Gsz"" how does doing this stuff make him a pussy?",2,females think dating a pussy is cute now url how does doing this stuff make him a pussy
3,0,0,3,2,"""@Addicted2Guys: -SimplyAddictedToGuys http://t.co/1jL4hi8ZMF"" woof woof hot scally lad",1,simplyaddictedtoguys url woof woof hot scally lad
3,0,3,0,1,"""@AdoreBellaaa: Have ya ever asked your bitch for other bitches - kanye voice"" Yes",2,have ya ever asked your bitch for other bitches kanye voice yes
3,0,3,0,1,"""@AdoreZoey: How u gone bring ur side bitch to a game where You know Ya gf friends at ?! &#128553;&#128553;&#128553;&#128553;"" I SWEAR!!!!!",2,how u gone bring ur side bitch to a game where you know ya gf friends at i swear
3,0,1,2,2,"""@AllAboutManFeet: http://t.co/3gzUpfuMev"" woof woof and hot soles",1, url woof woof and hot soles
3,0,1,2,2,"""@Allyhaaaaa: Lemmie eat a Oreo &amp; do these dishes."" One oreo? Lol",1,lemmie eat a oreo do these dishes one oreo lol
3,0,3,0,1,"""@Almightywayne__: @JetsAndASwisher @Gook____ bitch fuck u http://t.co/pXmGA68NC1"" maybe you'll get better. Just http://t.co/TPreVwfq0S",2,bitch fuck u url maybe you will get better just url 
